"ENSG00000132975.7" "ENSG00000163106.9" "ENSG00000172236.15" "ENSG00000188626.6" "ENSG00000197253.12" "ENSG00000230453.8" "ENSG00000232431.3" "ENSG00000248334.5" "ENSG00000254369.5" "ENSG00000267453.5"
"TARGET-20-PASVYL" -4.04036141478569 -2.80220790596284 -0.967821350753277 5.647719 -1.354229 -2.879814 3.053973 7.004178 -0.6806063 -1.768396
"TARGET-20-PASWAJ" -2.05651641622841 2.93377845442218 6.00299624501399 3.303899 1.785493 2.696038 1.92434 4.706741 3.08206 1.512179
"TARGET-20-PASWAT" -2.03614595995937 0.0954570665036044 7.45813705530044 2.00951 6.324168 -2.48705 1.414259 4.361594 2.935843 1.42836
"TARGET-20-PASWLN" -3.21480823083539 -2.71856353486276 6.10411159095599 3.595835 4.592703 5.256392 1.387957 5.400792 4.677413 -6.927145
"TARGET-20-PASZLJ" -2.146992382502 -2.19574447509412 6.87071653494344 4.364182 3.013132 5.382695 1.881401 5.865073 3.608738 -1.274601
"TARGET-20-PATJHJ" -6.00207655765209 -2.75108451075805 -4.25073173428338 -2.82466 -2.374438 -0.3247229 -5.442982 -0.5247977 -0.4501171 -6.002077
"TARGET-20-PALGKX" 2.34188399441011 7.76872757756234 10.6389809558536 -2.713901 9.985855 -3.19552 -5.465163 0.0454964 -6.927145 7.944961
"TARGET-20-PANAEV" -5.27026642043306 -3.12805643826507 5.64981459938733 -6.927145 0.04891443 -0.02708192 -6.927145 0.1898587 2.503448 -0.5551202
"TARGET-20-PANBZH" 3.49157540496201 3.95032346959042 7.5211332706618 -4.224518 7.241661 -3.515413 -5.018359 -1.117252 -3.947609 4.186574
"TARGET-20-PANHYK" -0.737669354295979 7.18290568001632 7.55358623478577 -3.388564 6.839269 -5.178651 -6.927145 1.382333 -4.411091 7.227554
"TARGET-20-PANKKE" 3.15926384068011 4.77873207815824 9.44134913442665 -6.927145 5.022068 -5.62157 -6.927145 -3.428542 -6.927145 5.223701
"TARGET-20-PANLIR" -2.90373536570831 2.47606953667169 5.23383621210816 -2.175202 5.52381 0.2923998 -6.927145 1.989543 -4.908387 2.941706
"TARGET-20-PANLIZ" 2.89424604862431 3.91971964795041 5.7847322287725 -6.927145 5.306382 -4.851192 -5.876068 -0.2731816 -5.876068 2.470024
"TARGET-20-PANLJN" 0.962589945396792 1.51863288282433 7.71588374284751 -6.927145 4.705886 -6.927145 -6.927145 -0.9178397 2.788286 9.031748
